Types_of_fluid,mh,mc,Th1,Th2,Tc1,Tc2,c,h,Volume_Concentration,Size_of_Particle,Ultrasonication_time,Speed_of_Magnetic_Stirrer,R,LMTD,e,U0,V,Rec,Prc,NTU,Dec,Nuc,hc,Ch,Cc,Cmin,Qmax,Q
Al2O3,0.083,0.066,78,64.56,36,41.63393939,9,3,0.25,80,60,1500,0.43,32.19,0.32,245.14,0.85,15687.26,2.74,0.42,4627.08,62.9,4800.76,0.249,0.594,0.249,10.458,3.34656
Al2O3,0.083,0.0833,78,65.82,36,39.30985485,11,3,0.25,80,60,1500,0.53,32.72,0.29,267.03,1.06,19600.26,2.74,0.37,5781.25,70.31,5366.2,0.249,0.9163,0.249,10.458,3.03282
Al2O3,0.083,0.0167,78,65.46493976,36,73.38,5,3,0.5,80,60,1500,0.069,16.66,0.89,211.83,0.21,4053.85,2.47,2.23,1195.71,31.64,2679.31,0.249,0.0835,0.0835,3.507,3.12123
Al2O3,0.083,0.033,78,52.28385542,36,68.34,6,3,0.5,80,60,1500,0.14,20.81,0.77,293.55,0.38,7282.37,2.47,1.55,2147.99,42.42,3591.09,0.249,0.198,0.198,8.316,6.40332
Al2O3,0.083,0.05,78,54.06,36,50.90265,8,3,0.5,80,60,1500,0.21,26.49,0.57,256.63,0.64,12137.27,2.47,0.9,3579.98,54.76,4636.08,0.249,0.4,0.249,10.458,5.96106
Al2O3,0.083,0.066,78,57.84,36,43.60581818,10,3,0.5,80,60,1500,0.28,28.54,0.48,267.59,0.85,16183.84,2.47,0.71,4773.55,63.23,5353.42,0.249,0.66,0.249,10.458,5.01984
Al2O3,0.083,0.0833,78,59.94,36,40.4987395,12,3,0.5,80,60,1500,0.35,29.41,0.43,292.17,1.06,20220.7,2.47,0.62,5964.25,70.68,5983.96,0.249,0.9996,0.249,10.458,4.49694
Water,0.083,0.0167,76,73.74516466,35,51.81,2,3,0,0,0,0,0.19,30.53,0.41,150.19,0.21,3646.79,3.768,0.55,1075.65,31.31,2003.73,0.249,0.0334,0.0334,1.3694,0.561454
Water,0.083,0.033,76,71.76168675,35,45.66,3,3,0,0,0,0,0.39,33.56,0.26,171.92,0.38,6551.12,3.768,0.32,1932.3,41.96,2685.59,0.249,0.099,0.099,4.059,1.05534
Water,0.083,0.05,76,67.39,35,43.57556,5,3,0,0,0,0,0.599,34.28,0.21,200.65,0.64,10918.54,3.768,0.25,3220.51,54.17,3467.09,0.249,0.25,0.249,10.209,2.14389
Water,0.083,0.066,76,68.62,35,38.97753247,7,3,0,0,0,0,0.79,34.49,0.18,228.65,0.85,14558.78,3.768,0.21,4294.23,62.56,4003.56,0.249,0.462,0.249,10.209,1.83762
Water,0.083,0.0833,76,70.26,35,36.90644258,9,3,0,0,0,0,0.99,35.15,0.14,227.05,1.06,18190.26,3.768,0.17,5365.37,69.92,4475.1,0.249,0.7497,0.249,10.209,1.42926
Al2O3,0.083,0.0167,76,72.12278313,35,54.27,3,3,0.05,80,60,1500,0.17,29.14,0.47,153.57,0.21,3726.81,3.48,0.66,1099.24,31.39,2100.91,0.249,0.0501,0.0501,2.0541,0.965427
Al2O3,0.083,0.033,76,69.69686747,35,46.89,4,3,0.05,80,60,1500,0.34,32.69,0.29,174.33,0.38,6694.82,3.48,0.37,1974.69,42.08,2815.85,0.249,0.132,0.132,5.412,1.56948
Al2O3,0.083,0.05,76,66.16,35,43.1672,6,3,0.05,80,60,1500,0.51,33.49,0.24,206.66,0.64,11158.03,3.48,0.29,3291.15,54.33,3635.25,0.249,0.3,0.249,10.209,2.45016
Al2O3,0.083,0.066,76,67.39,35,39.06039773,8,3,0.05,80,60,1500,0.69,33.63,0.21,242.88,0.85,14878.11,3.48,0.26,4388.41,62.74,4197.73,0.249,0.528,0.249,10.209,2.14389
Al2O3,0.083,0.0833,76,68.62,35,37.20602641,10,3,0.05,80,60,1500,0.86,34.09,0.18,255.07,1.06,18589.27,3.48,0.22,5483.05,70.13,4692.15,0.249,0.833,0.249,10.209,1.83762
Al2O3,0.083,0.0167,76,67.97058635,35,64.93,4,3,0.25,80,60,1500,0.11,20.59,0.73,223.42,0.21,3929.46,2.74,1.53,1159.03,31.48,2402.72,0.249,0.0668,0.0668,2.7388,1.999324
